YEAR_INDEX,PSTAR_0.45,TYPE,YEAR,1,2,3,4,5,6,7,8,9,10,11
0,NA,ACTUAL,2017,0.021183,0.180076171,0.159995005,0.710085433,0.596473967,3.608780899,0.402746117,0.786485275,0.156989,0.720758885,0.32502906
1,NA,ACTUAL,2018,0.027783,0.099200651,0.118055749,1.089326948,0.741300114,4.60895135,0.40995872,0.83966774,0.126353,0.816382246,0.450893895
2,NA,PROJECTION,2019,0.024483,0.139638411,0.139025377,0.899706191,0.668887041,4.108866125,0.25,0.51,0.141671,0.48,0.24
3,NA,PROJECTION,2020,0.024483,0.139638411,0.139025377,0.899706191,0.668887041,4.108866125,0.25,0.5,0.141671,0.47,0.24
4,0.857,FULL ACL,2021,0.003228977,0.018416421,0.01833557,0.118659101,0.088217171,0.541903975,0.032971625,0.06594325,0.018684492,0.061986655,0.03165276
5,0.849,FULL ACL,2022,0.003228977,0.018416421,0.01833557,0.118659101,0.088217171,0.541903975,0.032971625,0.06594325,0.018684492,0.061986655,0.03165276
6,0.841,FULL ACL,2023,0.003228977,0.018416421,0.01833557,0.118659101,0.088217171,0.541903975,0.032971625,0.06594325,0.018684492,0.061986655,0.03165276
7,0.833,FULL ACL,2024,0.003228977,0.018416421,0.01833557,0.118659101,0.088217171,0.541903975,0.032971625,0.06594325,0.018684492,0.061986655,0.03165276
8,0.826,FULL ACL,2025,0.003228977,0.018416421,0.01833557,0.118659101,0.088217171,0.541903975,0.032971625,0.06594325,0.018684492,0.061986655,0.03165276
9,0.818,FULL ACL,2026,0.003228977,0.018416421,0.01833557,0.118659101,0.088217171,0.541903975,0.032971625,0.06594325,0.018684492,0.061986655,0.03165276
10,0.81,FULL ACL,2027,0.003228977,0.018416421,0.01833557,0.118659101,0.088217171,0.541903975,0.032971625,0.06594325,0.018684492,0.061986655,0.03165276
11,0.803,FULL ACL,2028,0.003228977,0.018416421,0.01833557,0.118659101,0.088217171,0.541903975,0.032971625,0.06594325,0.018684492,0.061986655,0.03165276
12,0.795,FULL ACL,2029,0.003228977,0.018416421,0.01833557,0.118659101,0.088217171,0.541903975,0.032971625,0.06594325,0.018684492,0.061986655,0.03165276
13,0.788,FULL ACL,2030,0.003228977,0.018416421,0.01833557,0.118659101,0.088217171,0.541903975,0.032971625,0.06594325,0.018684492,0.061986655,0.03165276
