"Year","PredOFL","ForeCatch_ABC","SpawnBio","Depletion","REG","State of Nature","Catch"
2015,NA,NA,9.95,"53.3%","North","low","upper"
2016,NA,NA,10.04,"53.8%","North","low","upper"
2017,NA,NA,10.13,"54.2%","North","low","upper"
2018,NA,NA,10.14,"54.3%","North","low","upper"
2019,NA,NA,10.12,"54.2%","North","low","upper"
2020,NA,NA,10.11,"54.1%","North","low","upper"
2021,3.97,13.53,10.09,"54%","North","low","upper"
2022,3.5,13.51,8.9,"47.6%","North","low","upper"
2023,3.05,13.51,7.72,"41.3%","North","low","upper"
2024,2.6,13.52,6.57,"35.2%","North","low","upper"
2025,2.16,13.52,5.44,"29.1%","North","low","upper"
2026,1.74,13.52,4.36,"23.3%","North","low","upper"
2027,1.33,13.52,3.31,"17.7%","North","low","upper"
2028,0.95,13.51,2.33,"12.5%","North","low","upper"
2029,0.59,13.52,1.42,"7.6%","North","low","upper"
2030,0.28,11.23,0.63,"3.4%","North","low","upper"
